,Idx,Open,High,Low,Close,Volume,Date
230,230,108.565,108.7297,108.565,108.675,2012,2021-01-21 10:50:00-05:00
231,231,108.74,108.75,108.63,108.655,3082,2021-01-21 10:51:00-05:00
232,232,108.66,108.66,108.64,108.64,515,2021-01-21 10:52:00-05:00
233,233,108.67,108.77,108.67,108.725,1200,2021-01-21 10:53:00-05:00
234,234,108.71,108.74,108.67,108.7,2600,2021-01-21 10:54:00-05:00
235,235,108.78,108.8,108.67,108.71,3900,2021-01-21 10:55:00-05:00
236,236,108.68,108.74,108.655,108.67,4502,2021-01-21 10:56:00-05:00
237,237,108.64,108.64,108.38,108.405,29066,2021-01-21 10:57:00-05:00
238,238,108.45,108.465,108.3,108.33,4697,2021-01-21 10:58:00-05:00
239,239,108.28,108.29,108.05,108.12,7605,2021-01-21 10:59:00-05:00
240,240,108.13,108.18,107.97,108.155,19443,2021-01-21 11:00:00-05:00
241,241,108.17,108.17,108.02,108.03,6790,2021-01-21 11:01:00-05:00
242,242,108.0,108.05,107.95,107.97,2890,2021-01-21 11:02:00-05:00
243,243,107.94,108.02,107.84,107.84,7931,2021-01-21 11:03:00-05:00
244,244,107.84,107.845,107.71,107.725,22995,2021-01-21 11:04:00-05:00
245,245,107.7,107.75,107.51,107.51,32466,2021-01-21 11:05:00-05:00
246,246,107.53,107.64,107.49,107.595,45207,2021-01-21 11:06:00-05:00
247,247,107.65,107.665,107.45,107.5,27059,2021-01-21 11:07:00-05:00
248,248,107.53,107.56,107.36,107.36,6891,2021-01-21 11:08:00-05:00
249,249,107.385,107.41,107.31,107.39,10327,2021-01-21 11:09:00-05:00
250,250,107.36,107.36,107.2,107.2,7768,2021-01-21 11:10:00-05:00
251,251,107.19,107.33,107.17,107.31,12947,2021-01-21 11:11:00-05:00
252,252,107.345,107.345,107.1,107.1,11349,2021-01-21 11:12:00-05:00
253,253,107.08,107.23,107.08,107.16,23410,2021-01-21 11:13:00-05:00
254,254,107.16,107.36,107.16,107.34,21298,2021-01-21 11:14:00-05:00
255,255,107.315,107.4294,107.26,107.33,7942,2021-01-21 11:15:00-05:00
256,256,107.335,107.335,107.11,107.11,10848,2021-01-21 11:16:00-05:00
257,257,107.155,107.26,107.14,107.2,17005,2021-01-21 11:17:00-05:00
258,258,107.185,107.5,107.1,107.4785,29055,2021-01-21 11:18:00-05:00
259,259,107.45,107.61,107.37,107.61,9472,2021-01-21 11:19:00-05:00
260,260,107.66,107.66,107.49,107.57,6579,2021-01-21 11:20:00-05:00
261,261,107.6,107.86,107.52,107.76,11345,2021-01-21 11:21:00-05:00
262,262,107.85,107.875,107.77,107.775,3717,2021-01-21 11:22:00-05:00
263,263,107.74,107.74,107.58,107.58,2708,2021-01-21 11:23:00-05:00
264,264,107.57,107.575,107.53,107.56,1000,2021-01-21 11:24:00-05:00
265,265,107.585,107.62,107.55,107.58,1700,2021-01-21 11:25:00-05:00
266,266,107.59,107.79,107.59,107.76,3716,2021-01-21 11:26:00-05:00
267,267,107.79,107.84,107.69,107.7547,13645,2021-01-21 11:27:00-05:00
268,268,107.77,107.82,107.75,107.76,900,2021-01-21 11:28:00-05:00
269,269,107.71,107.73,107.605,107.63,6659,2021-01-21 11:29:00-05:00
270,270,107.63,107.72,107.63,107.69,3926,2021-01-21 11:30:00-05:00
271,271,107.69,107.69,107.47,107.47,3201,2021-01-21 11:31:00-05:00
272,272,107.5,107.75,107.5,107.58,19431,2021-01-21 11:32:00-05:00
273,273,107.57,107.57,107.46,107.47,1093,2021-01-21 11:33:00-05:00
274,274,107.4638,107.4729,107.29,107.35,4387,2021-01-21 11:34:00-05:00
275,275,107.36,107.36,107.26,107.33,5319,2021-01-21 11:35:00-05:00
276,276,107.355,107.36,107.28,107.28,8384,2021-01-21 11:36:00-05:00
277,277,107.28,107.31,107.19,107.19,3915,2021-01-21 11:37:00-05:00
278,278,107.21,107.29,107.17,107.29,5061,2021-01-21 11:38:00-05:00
279,279,107.3,107.36,107.29,107.36,7518,2021-01-21 11:39:00-05:00
280,280,107.3647,107.43,107.33,107.33,1592,2021-01-21 11:40:00-05:00
281,281,107.37,107.37,107.34,107.34,1000,2021-01-21 11:41:00-05:00
282,282,107.335,107.7,107.3,107.5633,32906,2021-01-21 11:42:00-05:00
283,283,107.625,107.68,107.58,107.62,3670,2021-01-21 11:43:00-05:00
284,284,107.62,107.69,107.55,107.55,3375,2021-01-21 11:44:00-05:00
285,285,107.52,107.52,107.3,107.3,7969,2021-01-21 11:45:00-05:00
286,286,107.314,107.32,107.16,107.16,1689,2021-01-21 11:46:00-05:00
287,287,107.26,107.27,107.1719,107.18,3285,2021-01-21 11:47:00-05:00
288,288,107.19,107.25,107.12,107.25,5411,2021-01-21 11:48:00-05:00
289,289,107.22,107.76,107.22,107.76,29157,2021-01-21 11:49:00-05:00
290,290,107.765,107.7725,107.66,107.66,5182,2021-01-21 11:50:00-05:00
291,291,107.65,107.73,107.53,107.53,2348,2021-01-21 11:51:00-05:00
292,292,107.53,107.565,107.39,107.43,7310,2021-01-21 11:52:00-05:00
293,293,107.42,107.53,107.42,107.53,6921,2021-01-21 11:53:00-05:00
294,294,107.53,107.69,107.53,107.6,3840,2021-01-21 11:54:00-05:00
295,295,107.58,107.64,107.56,107.59,2244,2021-01-21 11:55:00-05:00
296,296,107.585,107.69,107.56,107.69,3507,2021-01-21 11:56:00-05:00
297,297,107.6832,107.6832,107.63,107.635,1489,2021-01-21 11:57:00-05:00
298,298,107.67,107.67,107.52,107.52,1640,2021-01-21 11:58:00-05:00
299,299,107.53,107.53,107.36,107.42,5118,2021-01-21 11:59:00-05:00
300,300,107.41,107.4748,107.39,107.415,1463,2021-01-21 12:00:00-05:00
301,301,107.38,107.38,107.33,107.365,995,2021-01-21 12:01:00-05:00
302,302,107.33,107.35,107.3,107.3375,2267,2021-01-21 12:02:00-05:00
303,303,107.32,107.39,107.3,107.31,4340,2021-01-21 12:03:00-05:00
304,304,107.38,107.405,107.37,107.37,1907,2021-01-21 12:04:00-05:00
305,305,107.42,107.43,107.36,107.41,3461,2021-01-21 12:05:00-05:00
306,306,107.51,107.64,107.51,107.5934,8108,2021-01-21 12:06:00-05:00
307,307,107.58,107.58,107.44,107.45,3743,2021-01-21 12:07:00-05:00
308,308,107.45,107.45,107.38,107.38,1704,2021-01-21 12:08:00-05:00
309,309,107.35,107.42,107.35,107.39,2663,2021-01-21 12:09:00-05:00
310,310,107.37,107.37,107.23,107.252,2655,2021-01-21 12:10:00-05:00
311,311,107.21,107.21,107.18,107.2,2007,2021-01-21 12:11:00-05:00
312,312,107.19,107.19,107.13,107.14,1533,2021-01-21 12:12:00-05:00
313,313,107.11,107.11,107.07,107.08,962,2021-01-21 12:13:00-05:00
314,314,107.075,107.12,107.07,107.11,3579,2021-01-21 12:14:00-05:00
315,315,107.05,107.06,106.97,106.98,6508,2021-01-21 12:15:00-05:00
316,316,106.98,107.08,106.98,107.055,3755,2021-01-21 12:16:00-05:00
317,317,107.05,107.05,106.94,107.01,5952,2021-01-21 12:17:00-05:00
318,318,107.03,107.04,107.01,107.02,2853,2021-01-21 12:18:00-05:00
319,319,107.02,107.025,106.98,106.98,2100,2021-01-21 12:19:00-05:00
320,320,107.03,107.08,107.03,107.08,200,2021-01-21 12:20:00-05:00
321,321,107.09,107.134,107.06,107.075,2766,2021-01-21 12:21:00-05:00
322,322,107.08,107.09,107.03,107.05,3705,2021-01-21 12:22:00-05:00
323,323,107.09,107.14,107.07,107.07,34177,2021-01-21 12:23:00-05:00
324,324,107.1,107.18,107.07,107.07,10004,2021-01-21 12:24:00-05:00
325,325,107.07,107.1195,106.95,107.02,10680,2021-01-21 12:25:00-05:00
326,326,107.03,107.07,107.02,107.03,3800,2021-01-21 12:26:00-05:00
327,327,107.08,107.1,106.93,106.945,8019,2021-01-21 12:27:00-05:00
328,328,106.93,107.135,106.85,107.05,8860,2021-01-21 12:28:00-05:00
329,329,107.12,107.1701,107.08,107.131,2859,2021-01-21 12:29:00-05:00
330,330,107.1352,107.28,107.135,107.21,7975,2021-01-21 12:30:00-05:00
331,331,107.22,107.25,107.14,107.23,11744,2021-01-21 12:31:00-05:00
332,332,107.22,107.33,107.12,107.225,15565,2021-01-21 12:32:00-05:00
333,333,107.2364,107.31,107.23,107.25,6568,2021-01-21 12:33:00-05:00
334,334,107.29,107.45,107.26,107.39,4572,2021-01-21 12:34:00-05:00
335,335,107.39,107.43,107.39,107.4,2497,2021-01-21 12:35:00-05:00
336,336,107.4,107.51,107.35,107.48,3809,2021-01-21 12:36:00-05:00
337,337,107.4742,107.475,107.46,107.46,2568,2021-01-21 12:37:00-05:00
338,338,107.42,107.43,107.3601,107.43,3227,2021-01-21 12:38:00-05:00
339,339,107.43,107.43,107.36,107.395,1088,2021-01-21 12:39:00-05:00
340,340,107.43,107.45,107.38,107.38,3304,2021-01-21 12:40:00-05:00
341,341,107.4,107.42,107.38,107.38,1700,2021-01-21 12:41:00-05:00
342,342,107.365,107.44,107.34,107.4,2982,2021-01-21 12:42:00-05:00
343,343,107.39,107.45,107.35,107.385,2604,2021-01-21 12:43:00-05:00
344,344,107.38,107.47,107.35,107.47,2539,2021-01-21 12:44:00-05:00
345,345,107.4824,107.4824,107.41,107.41,965,2021-01-21 12:45:00-05:00
346,346,107.4699,107.57,107.44,107.57,5200,2021-01-21 12:46:00-05:00
347,347,107.54,107.64,107.54,107.57,7676,2021-01-21 12:47:00-05:00
348,348,107.53,107.62,107.5202,107.58,6834,2021-01-21 12:48:00-05:00
349,349,107.58,107.62,107.5025,107.62,10822,2021-01-21 12:49:00-05:00
350,350,107.625,107.65,107.51,107.545,8014,2021-01-21 12:50:00-05:00
